folder,total,poster_ready,card_ready,small_print,screen_only,unknown
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Chrysanthemum stone,2,0,0,1,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Chrysocolla,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Chrysocolla azurite,2,0,1,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Chrysoprase,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Citrine,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Corals/Black Coral,2,0,0,0,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Corals/Branch Coral,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Covellite,2,0,1,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Cuprite,1,0,1,0,0,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Diamond,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Dumortierite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Emerald,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Fluorites/Green Fluorite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Fluorites/Purple Fluorite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Fluorites/Rainbow Fluorite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Garnets,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Garnets/Hessonite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Gold,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Hawk's Eye,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Hematite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Herkimer Diamond,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Iolite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Jade,8,0,2,1,3,2
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Jadeite,2,0,0,0,2,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Jaspers/Bloodstone,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Jaspers/Dendritic jasper,1,0,1,0,0,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Jaspers/Leopardskin Jasper,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Jaspers/Moukaite jasper,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Jaspers/Picture Jasper,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Jet,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Kunzite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Kyanite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Labradorite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Lapis Lazuli,2,0,0,0,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Larimar,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Lepidolite,2,0,0,0,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Malachite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Moldavite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Moonstones/Rainbow Moonstone,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Moonstones/White Moonstone,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Morganite,2,0,0,0,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Muscovite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Obsidians/Rainbow Obsidian,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Obsidians/Snowflake Obsidian,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Onyx,3,0,0,0,3,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Opals/Fire Opal,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Opals/Peruvian Blue Opal,2,0,0,0,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Opals/Water Opal,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Pearl,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Peridot,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Petrified Wood,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Pietersite,2,0,0,0,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Platinum,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Prehnite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Pyrite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Quartzes/Clear Quartz,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Quartzes/Rose Quartz,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Quartzes/Rutilated Quartz,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Quartzes/Smoky Quartz,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Quartzes/Tourmalinated Quartz,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Rhodochrosite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Rhodonite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Ruby,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Sapphire,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Sard,1,0,0,0,1,0
